LEGACY_ACCOUNTING_CLERKS	COMPANY_CODE	ACCOUNTING_CLERKS	ACCTG_CLERK	DI_TIMESTAMP											
01	1010	01	Michaela Schneider	2018.06.19 05:33:47											
AM	1010	AM	Anna Meier	2018.06.19 05:33:47											
CP	1010	CP	Customer Payments	2018.06.19 05:33:47											
01	1310	01	Michaela Schneider	2018.06.19 05:33:47											
AM	1310	AM	Anna Meier	2018.06.19 05:33:47											
CP	1310	CP	Customer Payments	2018.06.19 05:33:47											
01	1410	01	Michaela Schneider	2018.06.19 05:33:47											
AM	1410	AM	Anna Meier	2018.06.19 05:33:47											
CP	1410	CP	Customer Payments	2018.06.19 05:33:47											
01	1510	01	Michaela Schneider	2018.06.19 05:33:47											
AM	1510	AM	Anna Meier	2018.06.19 05:33:47											
CP	1510	CP	Customer Payments	2018.06.19 05:33:47											
01	1710	01	Mrs. Smith	2018.06.19 05:33:47											
AM	1710	AM	Anna Meier	2018.06.19 05:33:47											
CP	1710	CP	Customer Payments	2018.06.19 05:33:47											
01	1720	01	Mrs. Smith	2018.06.19 05:33:47											
AM	1720	AM	Anna Meier	2018.06.19 05:33:47											
CP	1720	CP	Customer Payments	2018.06.19 05:33:47											
01	1730	01	Mrs. Smith	2018.06.19 05:33:47											
AM	1730	AM	Anna Meier	2018.06.19 05:33:47											
CP	1730	CP	Customer Payments	2018.06.19 05:33:47											
01	1740	01	Mrs. Smith	2018.06.19 05:33:47											
AM	1740	AM	Anna Meier	2018.06.19 05:33:47											
CP	1740	CP	Customer Payments	2018.06.19 05:33:47											
01	1750	01	Mrs. Smith	2018.06.19 05:33:47											
AM	1750	AM	Anna Meier	2018.06.19 05:33:47											
CP	1750	CP	Customer Payments	2018.06.19 05:33:47											
01	1760	01	Mrs. Smith	2018.06.19 05:33:47											
AM	1760	AM	Anna Meier	2018.06.19 05:33:47											
CP	1760	CP	Customer Payments	2018.06.19 05:33:47											
01	1770	01	Mrs. Smith	2018.06.19 05:33:47											
AM	1770	AM	Anna Meier	2018.06.19 05:33:47											
CP	1770	CP	Customer Payments	2018.06.19 05:33:47											
01	1780	01	Mrs. Smith	2018.06.19 05:33:47											
AM	1780	AM	Anna Meier	2018.06.19 05:33:47											
CP	1780	CP	Customer Payments	2018.06.19 05:33:47											
01	1790	01	Mrs. Smith	2018.06.19 05:33:47											
AM	1790	AM	Anna Meier	2018.06.19 05:33:47											
CP	1790	CP	Customer Payments	2018.06.19 05:33:47											
01	1800	01	Mrs. Smith	2018.06.19 05:33:47											
AM	1800	AM	Anna Meier	2018.06.19 05:33:47											
CP	1800	CP	Customer Payments	2018.06.19 05:33:47											
01	1810	01	Mrs. Smith	2018.06.19 05:33:47											
AM	1810	AM	Anna Meier	2018.06.19 05:33:47											
CP	1810	CP	Customer Payments	2018.06.19 05:33:47											
01	2110	01	Michaela Schneider	2018.06.19 05:33:47											
AM	2110	AM	Anna Meier	2018.06.19 05:33:47											
CP	2110	CP	Customer Payments	2018.06.19 05:33:47											
01	2210	01	Michaela Schneider	2018.06.19 05:33:47											
AM	2210	AM	Anna Meier	2018.06.19 05:33:47											
CP	2210	CP	Customer Payments	2018.06.19 05:33:47											
01	2310	01	Michaela Schneider	2018.06.19 05:33:47											
AM	2310	AM	Anna Meier	2018.06.19 05:33:47											
CP	2310	CP	Customer Payments	2018.06.19 05:33:47											
01	2910	01	Michaela Schneider	2018.06.19 05:33:47											
AM	2910	AM	Anna Meier	2018.06.19 05:33:47											
CP	2910	CP	Customer Payments	2018.06.19 05:33:47											
01	3010	01	Michaela Schneider	2018.06.19 05:33:47											
AM	3010	AM	Anna Meier	2018.06.19 05:33:47											
CP	3010	CP	Customer Payments	2018.06.19 05:33:47											
01	3310	01	Michaela Schneider	2018.06.19 05:33:47											
AM	3310	AM	Anna Meier	2018.06.19 05:33:47											
CP	3310	CP	Customer Payments	2018.06.19 05:33:47											
01	6110	01	Michaela Schneider	2018.06.19 05:33:47											
AM	6110	AM	Anna Meier	2018.06.19 05:33:47											
CP	6110	CP	Customer Payments	2018.06.19 05:33:47											
01	6210	01	Michaela Schneider	2018.06.19 05:33:47											
AM	6210	AM	Anna Meier	2018.06.19 05:33:47											
CP	6210	CP	Customer Payments	2018.06.19 05:33:47											
01	6310	01	Michaela Schneider	2018.06.19 05:33:47											
AM	6310	AM	Anna Meier	2018.06.19 05:33:47											
CP	6310	CP	Customer Payments	2018.06.19 05:33:47											
01	6410	01	Michaela Schneider	2018.06.19 05:33:47											
AM	6410	AM	Anna Meier	2018.06.19 05:33:47											
CP	6410	CP	Customer Payments	2018.06.19 05:33:47											
01	6910	01	Michaela Schneider	2018.06.19 05:33:47											
AM	6910	AM	Anna Meier	2018.06.19 05:33:47											
CP	6910	CP	Customer Payments	2018.06.19 05:33:47											
